台番号,角,角2,角3,円卓
281,1,0,0,0
282,0,1,0,0
283,0,0,1,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,1,0
299,0,1,0,0
300,1,0,0,0
301,1,0,0,0
302,0,1,0,0
303,0,0,1,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,1,0
319,0,1,0,0
320,1,0,0,0
641,1,0,0,0
642,0,1,0,0
643,0,0,1,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,1,0
659,0,1,0,0
660,1,0,0,0
661,1,0,0,0
662,0,1,0,0
663,0,0,1,0
664,0,0,0,0
665,0,0,0,0
666,0,0,0,0
667,0,0,0,0
668,0,0,0,0
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,1,0
679,0,1,0,0
680,1,0,0,0
681,1,0,0,0
682,0,1,0,0
683,0,0,1,0
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,1,0
699,0,1,0,0
700,1,0,0,0
701,1,0,0,0
702,0,1,0,0
703,0,0,1,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,1,0
719,0,1,0,0
720,1,0,0,0
721,1,0,0,0
722,0,1,0,0
723,0,0,1,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,1,0
739,0,1,0,0
740,1,0,0,0
741,1,0,0,0
742,0,1,0,0
743,0,0,1,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,0,0
758,0,0,1,0
759,0,1,0,0
760,1,0,0,0
761,1,0,0,0
762,0,1,0,0
763,0,0,1,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0,0,1,0
779,0,1,0,0
780,1,0,0,0
781,1,0,0,0
782,0,1,0,0
783,0,0,1,0
784,0,0,0,0
785,0,0,0,0
786,0,0,0,0
787,0,0,0,0
788,0,0,0,0
789,0,0,0,0
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,0,0,0,0
794,0,0,0,0
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,1,0
799,0,1,0,0
800,1,0,0,0
841,1,0,0,0
842,0,1,0,0
843,0,0,1,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,0,0,0,0
852,0,0,0,0
853,0,0,0,0
854,0,0,0,0
855,0,0,0,0
856,0,0,0,0
857,0,0,0,0
858,0,0,1,0
859,0,1,0,0
860,1,0,0,0
861,1,0,0,0
862,0,1,0,0
863,0,0,1,0
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
875,0,0,0,0
876,0,0,0,0
877,0,0,0,0
878,0,0,1,0
879,0,1,0,0
880,1,0,0,0
881,1,0,0,0
882,0,1,0,0
883,0,0,1,0
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,0,0,0,0
897,0,0,0,0
898,0,0,1,0
899,0,1,0,0
900,1,0,0,0
901,1,0,0,0
902,0,1,0,0
903,0,0,1,0
904,0,0,0,0
905,0,0,0,0
906,0,0,0,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
918,0,0,1,0
919,0,1,0,0
920,1,0,0,0
921,1,0,0,0
922,0,1,0,0
923,0,0,1,0
924,0,0,0,0
925,0,0,0,0
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
929,0,0,0,0
930,0,0,0,0
931,0,0,0,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,1,0
939,0,1,0,0
940,1,0,0,0
941,1,0,0,0
942,0,1,0,0
943,0,0,1,0
944,0,1,0,0
945,1,0,0,0
946,1,0,0,0
947,0,1,0,0
948,0,1,0,0
949,1,0,0,0
950,1,0,0,0
951,0,1,0,0
952,0,1,0,0
953,1,0,0,0
954,1,0,0,0
955,0,1,0,0
956,0,0,1,0
957,0,1,0,0
958,1,0,0,0
959,1,0,0,0
960,0,1,0,0
961,0,1,0,0
962,1,0,0,0
963,1,0,0,0
964,0,1,0,0
965,0,0,1,0
966,0,1,0,0
967,1,0,0,0
968,1,0,0,0
969,0,1,0,0
970,0,0,1,0
971,0,1,0,0
972,1,0,0,0
973,1,0,0,0
974,0,1,0,0
975,0,1,0,0
976,1,0,0,0
977,1,0,0,0
978,0,1,0,0
979,0,0,1,0
980,0,1,0,0
981,1,0,0,0
982,1,0,0,0
983,0,1,0,0
984,0,0,1,0
985,0,1,0,0
986,1,0,0,0
987,1,0,0,0
988,0,1,0,0
989,0,0,1,0
990,0,0,0,0
991,0,0,0,0
992,0,0,1,0
993,0,1,0,0
994,1,0,0,0
995,1,0,0,0
996,0,1,0,0
997,0,0,1,0
998,0,0,0,0
999,0,0,0,0
1000,0,0,1,0
1001,0,1,0,0
1002,1,0,0,0
1003,1,0,0,0
1004,0,1,0,0
1005,0,0,1,0
1006,0,1,0,0
1007,1,0,0,0
1008,1,0,0,0
1009,0,1,0,0
1010,0,0,1,0
1011,0,0,0,0
1012,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,1,0
1016,0,1,0,0
1017,1,0,0,0
1018,0,0,0,1
1019,0,0,0,1
1020,0,0,0,1
1021,0,0,0,1
1022,0,0,0,1
1023,0,0,0,1
1024,0,0,0,1
1025,0,0,0,1
1026,0,0,0,1
1027,0,0,0,1
1028,1,0,0,0
1029,0,1,0,0
1030,0,1,0,0
1031,1,0,0,0
1032,1,0,0,0
1033,0,1,0,0
1034,0,0,1,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,1,0
1040,0,1,0,0
1041,1,0,0,0
